CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
AUS,2015,6,b,28.539102581574,520.460897418426,465,728,1136,2878,0.000329584312592705,0.00171636974893257,0.0120442024921233,0.0350406156025987,0.128787244472831,0.00628344240798291,1,0,0
AUS,2015,7,m,14.714428324111,327.285571675889,273,398,425,1438,0.000330977657560507,0.00216444679368855,0.0143408159254498,0.0416647308003446,0.131711164329971,0.00632135024827556,1,0,0
AUS,2015,7,f,14.6446339729922,197.355366027008,173,305,621,1311,0.000347575005467324,0.00129818771688116,0.0088395134742003,0.0271752522163116,0.111011962456835,0.00568649729701458,1,0,0
AUS,2015,7,b,29.3590622971032,524.640937702897,446,703,1046,2749,0.000339053631343144,0.00173015463599935,0.0115520737881441,0.0338372977591028,0.11858402968185,0.00600180096579049,1,0,0
AUS,2015,8,m,18.3930354051387,339.606964594861,278,402,426,1464,0.000413722071950634,0.0022459322049173,0.0146034682317767,0.0420834718134133,0.132021072951923,0.00643564448085912,1,0,0
AUS,2015,8,f,12.8422174840085,191.157782515991,140,304,628,1276,0.000304796543255961,0.0012574205112545,0.00715336350513319,0.0270861530287171,0.112263305028812,0.00553468386803249,1,0,0
AUS,2015,8,b,31.2352528891472,530.764747110852,418,706,1054,2740,0.000360720850373743,0.00175034966173169,0.0108268314875431,0.0339816959003223,0.119490982107715,0.00598215156284683,1,0,0
AUS,2015,9,m,16.8602824547105,339.139717545289,268,419,425,1468,0.000379245232621415,0.00224284214698066,0.0140781636191229,0.0438631211189557,0.131711164329971,0.0064532282089489,1,0,0
AUS,2015,9,f,11.0398009950249,171.960199004975,158,334,645,1320,0.000262018081044598,0.00113114035171533,0.00807308167007888,0.0297591286565511,0.115302279846471,0.00572553503589568,1,0,0
AUS,2015,9,b,27.9000834497354,511.099916550264,426,753,1070,2788,0.000322204589257024,0.00168549921771275,0.0110340435734291,0.0362439334460945,0.121304886959445,0.00608694837854634,1,0,0
AUS,2015,10,m,17.0135577497533,325.986442250247,284,434,430,1491,0.000382692916554337,0.00215585522484695,0.014918650999369,0.0454333999179637,0.133260707439735,0.00655433464546513,1,0,0
AUS,2015,10,f,11.9410092395167,188.058990760483,169,307,679,1355,0.000283407312150279,0.00123703690844118,0.00863513165976792,0.0273534505915005,0.121380229481789,0.00587734846487776,1,0,0
AUS,2015,10,b,28.95456698927,514.04543301073,453,741,1109,2846,0.000334382310386287,0.00169521290681563,0.0117333843632943,0.0356663408812165,0.125726280035536,0.00621357786418324,1,0,0
AUS,2015,11,m,13.6415012588112,325.358498741189,259,418,368,1384,0.000306843870030054,0.00215170242853565,0.0136053894677344,0.0437584358656885,0.114046372878657,0.00608396991906354,1,0,0
AUS,2015,11,f,13.0675195451315,186.932480454869,189,295,670,1354,0.000310143851032381,0.00122962681429918,0.0096570407319298,0.0262842603403669,0.119771360460676,0.00587301093833542,1,0,0
AUS,2015,11,b,26.7090208039427,512.290979196058,448,713,1038,2738,0.000308449581991243,0.00168942708992076,0.0116038768096156,0.0343186248965012,0.117677077255985,0.00597778502885935,1,0,0
AUS,2015,12,m,15.4808047993251,329.519195200675,272,423,469,1509,0.000348216077225117,0.00217921847840345,0.0142882854641844,0.0442818621320245,0.145347143695897,0.00663346142186913,1,0,0
AUS,2015,12,f,13.0675195451315,172.932480454869,153,357,623,1319,0.000310143851032381,0.00113753594085493,0.00781760440203841,0.0318084099712237,0.111369488905972,0.00572119750935334,1,0,0
AUS,2015,12,b,28.5483243444566,502.451675655544,425,780,1092,2828,0.000329690810278533,0.00165697915188878,0.0110081420626934,0.03754351671707,0.123799006130573,0.00617427905829593,1,0,0
AUS,2015,13,m,13.4882259637684,320.511774036232,287,399,447,1467,0.000303396186097132,0.00211964944895021,0.0150762423831652,0.0417694160536118,0.138529154012934,0.00644883227692645,1,0,0
AUS,2015,13,f,11.0398009950249,174.960199004975,177,336,646,1345,0.000262018081044598,0.00115087411031053,0.00904389528863267,0.02993732703174,0.115481043071039,0.00583397319945431,1,0,0
